,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,1,1,1,1,0,1
1,0,0,1,1,1,1,1,1
2,0,0,1,0,1,0,1,1
3,0,1,0,1,0,1,0,0
4,1,1,1,1,0,1,1,0
5,0,1,1,1,1,1,1,1
6,0,0,1,1,1,1,1,0
7,0,0,1,1,1,0,1,1
8,0,0,1,1,1,0,1,0
9,1,0,0,0,0,0,0,0
10,0,0,0,0,0,1,1,1
11,0,0,0,1,1,1,0,1
12,1,0,1,1,0,1,1,1
13,0,0,0,1,1,1,1,1
14,0,0,1,0,1,1,0,1
15,0,1,1,1,1,1,1,1
16,1,1,1,1,1,0,1,1
17,0,0,0,1,1,1,1,0
18,0,0,1,1,1,1,1,0
19,1,0,1,1,1,1,1,1
