,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,1,1,1,0,1,1,0,0
1,1,1,0,0,1,0,0,0
2,0,0,0,1,0,0,0,0
3,1,1,1,1,0,1,0,0
4,0,0,0,0,1,1,0,0
5,0,0,1,1,1,0,0,0
6,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,0,1
8,0,1,1,1,0,1,0,0
9,0,0,1,1,0,0,0,0
10,0,1,1,0,1,1,0,0
11,1,1,0,1,1,0,0,0
12,0,0,0,0,1,1,0,1
13,1,0,0,1,0,0,0,1
14,0,1,1,0,0,1,0,0
15,0,0,0,0,0,0,1,1
16,0,0,0,0,1,1,0,0
17,1,1,0,1,0,0,0,0
18,0,1,1,0,1,1,1,0
19,0,0,1,1,1,0,0,0
