,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,0,0,1,1,0,1
1,0,1,0,1,0,1,0,0
2,1,1,0,1,1,0,0,1
3,1,1,1,1,0,1,1,1
4,1,1,1,0,1,1,1,0
5,1,1,0,0,1,0,1,1
6,0,0,1,1,0,1,0,1
7,0,0,1,0,1,1,0,0
8,1,1,0,0,0,1,1,0
9,1,1,1,0,1,0,0,0
10,1,0,0,1,1,1,1,0
11,0,0,0,0,0,1,0,1
12,0,1,1,1,1,1,1,1
13,0,0,0,0,1,1,0,1
14,1,0,1,0,1,0,1,1
15,0,0,1,1,0,1,1,1
16,1,1,0,0,1,0,1,0
17,0,1,0,0,1,1,0,0
18,1,0,0,0,0,1,0,0
19,1,0,0,0,0,0,1,0
