,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,0,0,1,0,0,0,1
1,0,1,1,1,0,0,0,1
2,0,1,1,1,0,0,0,0
3,1,1,1,1,0,1,0,1
4,1,1,1,1,1,1,0,0
5,0,1,0,0,1,0,0,0
6,0,0,1,1,1,1,1,0
7,1,0,0,1,0,1,0,0
8,1,1,1,0,0,0,0,0
9,1,0,1,0,0,1,0,0
10,1,1,1,1,0,1,0,0
11,0,0,0,0,1,1,0,0
12,0,1,1,1,0,0,1,1
13,0,0,0,1,0,1,0,1
14,1,0,1,0,0,0,1,0
15,1,0,1,1,0,1,1,1
16,0,1,0,0,1,0,1,0
17,0,0,0,0,1,0,0,0
18,0,1,1,0,0,0,1,0
19,1,1,1,0,0,1,1,1
