,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,1,0,1,0,1,0,1
1,1,1,1,1,1,1,1,0
2,1,0,1,1,1,1,0,1
3,1,1,1,1,1,1,0,1
4,0,1,1,1,1,1,1,0
5,0,0,1,1,1,1,1,1
6,0,1,1,1,1,1,1,0
7,0,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,0
9,0,1,0,0,1,1,0,0
10,0,0,1,1,1,1,1,1
11,0,0,1,1,1,1,1,1
12,0,0,1,1,1,1,1,1
13,0,0,1,0,0,1,1,0
14,0,0,1,1,1,1,1,0
15,1,0,1,1,1,1,0,1
16,0,1,0,1,1,1,0,1
17,0,0,0,1,1,1,1,0
18,0,0,1,0,1,1,0,1
19,1,1,1,1,1,1,0,0
