,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,0,0,1,0,1,1,0,0
1,1,0,1,0,0,1,0,1
2,0,0,0,0,1,0,1,1
3,1,0,1,0,0,1,1,1
4,0,1,1,1,1,1,1,0
5,1,1,0,0,1,0,1,1
6,0,1,1,1,1,1,1,0
7,0,0,0,1,1,1,1,0
8,1,1,0,0,0,1,1,1
9,1,1,0,0,0,0,0,1
10,1,1,0,1,1,0,0,0
11,1,1,0,0,1,1,0,0
12,0,1,0,1,1,0,1,0
13,0,0,0,1,1,1,1,0
14,1,0,0,1,1,1,1,1
15,1,1,1,1,0,1,1,1
16,1,1,0,0,0,1,0,1
17,1,1,0,0,0,0,0,0
18,1,1,1,0,1,1,1,1
19,1,1,0,0,0,0,1,0
