,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,0,0,0,0,1,1,1
1,1,1,0,1,0,0,0,0
2,1,0,0,1,1,0,0,1
3,1,1,0,0,0,1,1,0
4,1,1,1,0,1,1,0,0
5,1,1,0,0,1,1,1,1
6,0,0,1,1,0,0,0,1
7,0,1,1,1,1,0,0,0
8,1,1,0,0,1,0,1,0
9,1,1,1,0,1,0,0,0
10,1,1,0,1,0,1,0,0
11,1,0,0,0,1,1,0,1
12,1,0,1,1,1,0,1,0
13,0,0,1,1,0,0,0,0
14,0,0,0,1,1,1,1,1
15,1,1,1,1,0,1,1,1
16,1,1,0,0,0,0,0,0
17,1,0,1,0,0,0,0,0
18,0,1,1,1,1,1,0,1
19,0,0,1,0,0,0,0,1
