,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,1,0,0,1,1,0,1
1,1,1,0,1,0,1,0,1
2,1,1,0,1,1,0,1,1
3,1,0,0,0,0,1,1,1
4,0,1,0,0,1,1,1,0
5,0,1,0,0,0,1,1,0
6,1,0,1,0,0,1,1,1
7,0,1,0,1,1,0,1,0
8,1,1,0,0,1,1,0,0
9,1,1,1,1,0,1,0,0
10,0,1,0,1,0,0,0,0
11,0,0,0,0,0,1,0,0
12,0,1,1,1,1,0,0,1
13,1,1,0,0,1,1,0,0
14,1,0,0,1,0,1,0,1
15,0,1,1,0,1,1,0,0
16,1,1,0,0,1,1,0,1
17,1,0,0,0,0,0,0,0
18,1,1,0,1,1,0,0,0
19,1,1,0,1,1,0,1,1
