,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,0,1,1,1,1,1,0,0
1,1,1,0,1,1,0,0,1
2,1,0,0,1,0,0,0,0
3,1,1,0,0,1,1,0,1
4,0,0,0,1,1,0,0,0
5,0,1,1,1,1,1,0,1
6,0,0,0,0,0,0,0,0
7,1,0,1,0,0,1,0,1
8,0,0,1,0,1,0,0,0
9,0,0,1,0,0,1,0,0
10,0,1,0,1,1,1,0,1
11,0,1,1,1,0,1,1,0
12,1,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0
14,1,0,1,0,0,1,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,1,1,1,0,0,0,0,0
18,1,1,1,0,1,0,1,0
19,1,0,1,1,1,1,1,0
