,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,0,0,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0
2,0,0,1,0,1,0,0,0
3,1,0,1,0,1,0,0,0
4,0,0,0,0,0,0,1,0
5,0,0,1,1,0,1,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,1,0,0,1,1,1,0,0
9,0,1,1,1,1,0,0,1
10,0,0,0,0,0,1,0,0
11,0,0,1,0,0,0,0,1
12,0,1,0,0,1,0,0,0
13,1,0,1,1,0,1,0,0
14,0,0,0,0,0,1,1,0
15,0,1,1,0,0,1,0,1
16,0,0,0,0,1,1,0,0
17,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,1
19,0,1,1,0,1,1,0,1
