,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,0,0
2,0,1,0,0,1,1,0,0
3,1,1,1,1,0,1,0,1
4,0,0,0,1,1,0,1,0
5,0,0,1,0,1,1,0,1
6,0,0,0,0,0,0,0,0
7,0,0,1,0,1,0,0,0
8,0,0,1,1,1,1,0,0
9,0,0,1,0,1,0,0,1
10,0,0,1,0,1,1,1,0
11,0,1,0,1,0,0,0,1
12,0,1,1,0,0,1,0,1
13,1,1,1,0,1,0,0,0
14,1,0,1,0,0,1,0,0
15,1,0,0,0,0,0,1,1
16,0,0,0,0,0,1,1,0
17,1,0,0,0,0,0,0,0
18,0,1,1,0,1,1,0,0
19,0,1,0,0,1,1,0,0
